Distance_(cm), Density_(g/cm3), Mixture_fraction_(), Temperature_(K), Mole_fraction_N2_(), Mole_fraction_O2_(), Mole_fraction_NH3_(), Mole_fraction_CH4_()
0.00E+00,6.62E-04,1.00E+00,3.00E+02,8.23E-07,2.73E-07,2.50E-01,7.50E-01
5.25E-03,6.62E-04,1.00E+00,3.00E+02,1.10E-06,3.66E-07,2.50E-01,7.50E-01
1.05E-02,6.62E-04,1.00E+00,3.00E+02,1.47E-06,4.90E-07,2.50E-01,7.50E-01
1.58E-02,6.62E-04,1.00E+00,3.00E+02,1.97E-06,6.55E-07,2.50E-01,7.50E-01
2.10E-02,6.62E-04,1.00E+00,3.00E+02,2.64E-06,8.77E-07,2.50E-01,7.50E-01
2.63E-02,6.62E-04,1.00E+00,3.00E+02,3.53E-06,1.17E-06,2.50E-01,7.50E-01
3.15E-02,6.62E-04,1.00E+00,3.00E+02,4.72E-06,1.57E-06,2.50E-01,7.50E-01
3.68E-02,6.62E-04,1.00E+00,3.00E+02,6.30E-06,2.10E-06,2.50E-01,7.50E-01
4.20E-02,6.62E-04,1.00E+00,3.00E+02,8.42E-06,2.80E-06,2.50E-01,7.50E-01
4.73E-02,6.62E-04,1.00E+00,3.00E+02,1.12E-05,3.73E-06,2.50E-01,7.50E-01
5.25E-02,6.62E-04,1.00E+00,3.00E+02,1.50E-05,4.98E-06,2.50E-01,7.50E-01
5.78E-02,6.62E-04,1.00E+00,3.00E+02,1.99E-05,6.63E-06,2.50E-01,7.50E-01
6.30E-02,6.62E-04,1.00E+00,3.00E+02,2.65E-05,8.81E-06,2.50E-01,7.50E-01
6.83E-02,6.62E-04,1.00E+00,3.00E+02,3.52E-05,1.17E-05,2.50E-01,7.50E-01
7.35E-02,6.62E-04,1.00E+00,3.00E+02,4.66E-05,1.55E-05,2.50E-01,7.50E-01
7.88E-02,6.62E-04,1.00E+00,3.00E+02,6.17E-05,2.05E-05,2.50E-01,7.50E-01
8.40E-02,6.62E-04,1.00E+00,3.00E+02,8.14E-05,2.71E-05,2.50E-01,7.50E-01
8.93E-02,6.62E-04,1.00E+00,3.00E+02,1.07E-04,3.57E-05,2.50E-01,7.50E-01
9.45E-02,6.62E-04,1.00E+00,3.00E+02,1.41E-04,4.69E-05,2.50E-01,7.50E-01
9.98E-02,6.62E-04,1.00E+00,3.00E+02,1.85E-04,6.14E-05,2.50E-01,7.50E-01
1.05E-01,6.62E-04,9.99E-01,3.00E+02,2.42E-04,8.03E-05,2.50E-01,7.50E-01
1.10E-01,6.62E-04,9.99E-01,3.00E+02,3.15E-04,1.05E-04,2.50E-01,7.50E-01
1.16E-01,6.62E-04,9.99E-01,3.00E+02,4.10E-04,1.36E-04,2.50E-01,7.50E-01
1.21E-01,6.62E-04,9.99E-01,3.00E+02,5.31E-04,1.77E-04,2.50E-01,7.49E-01
1.26E-01,6.62E-04,9.98E-01,3.00E+02,6.86E-04,2.28E-04,2.50E-01,7.49E-01
1.31E-01,6.62E-04,9.98E-01,3.00E+02,8.83E-04,2.94E-04,2.50E-01,7.49E-01
1.37E-01,6.63E-04,9.97E-01,3.00E+02,1.13E-03,3.77E-04,2.50E-01,7.49E-01
1.42E-01,6.63E-04,9.97E-01,3.00E+02,1.45E-03,4.82E-04,2.50E-01,7.49E-01
1.47E-01,6.63E-04,9.96E-01,3.00E+02,1.85E-03,6.14E-04,2.49E-01,7.48E-01
1.52E-01,6.63E-04,9.94E-01,3.00E+02,2.34E-03,7.78E-04,2.49E-01,7.48E-01
1.58E-01,6.64E-04,9.93E-01,3.00E+02,2.96E-03,9.83E-04,2.49E-01,7.47E-01
1.63E-01,6.64E-04,9.91E-01,3.00E+02,3.72E-03,1.24E-03,2.49E-01,7.46E-01
1.68E-01,6.65E-04,9.89E-01,3.00E+02,4.66E-03,1.55E-03,2.48E-01,7.45E-01
1.73E-01,6.66E-04,9.86E-01,3.00E+02,5.82E-03,1.93E-03,2.48E-01,7.44E-01
1.79E-01,6.67E-04,9.83E-01,3.00E+02,7.22E-03,2.40E-03,2.48E-01,7.43E-01
1.84E-01,6.68E-04,9.79E-01,3.00E+02,8.93E-03,2.97E-03,2.47E-01,7.41E-01
1.89E-01,6.69E-04,9.74E-01,3.00E+02,1.10E-02,3.65E-03,2.46E-01,7.39E-01
1.94E-01,6.71E-04,9.69E-01,3.00E+02,1.35E-02,4.47E-03,2.46E-01,7.37E-01
2.00E-01,6.73E-04,9.62E-01,3.00E+02,1.64E-02,5.45E-03,2.45E-01,7.34E-01
2.05E-01,6.75E-04,9.54E-01,3.00E+02,1.99E-02,6.61E-03,2.43E-01,7.30E-01
2.10E-01,6.78E-04,9.45E-01,3.00E+02,2.40E-02,7.97E-03,2.42E-01,7.26E-01
2.15E-01,6.82E-04,9.34E-01,3.00E+02,2.88E-02,9.56E-03,2.40E-01,7.21E-01
2.21E-01,6.85E-04,9.21E-01,3.00E+02,3.43E-02,1.14E-02,2.39E-01,7.16E-01
2.26E-01,6.90E-04,9.07E-01,3.00E+02,4.08E-02,1.36E-02,2.36E-01,7.09E-01
2.31E-01,6.95E-04,8.91E-01,3.00E+02,4.81E-02,1.60E-02,2.34E-01,7.02E-01
2.36E-01,7.01E-04,8.73E-01,3.00E+02,5.66E-02,1.88E-02,2.31E-01,6.93E-01
2.42E-01,7.07E-04,8.53E-01,3.00E+02,6.61E-02,2.20E-02,2.28E-01,6.84E-01
2.47E-01,7.15E-04,8.31E-01,3.00E+02,7.68E-02,2.55E-02,2.24E-01,6.73E-01
2.52E-01,7.23E-04,8.07E-01,3.00E+02,8.87E-02,2.95E-02,2.20E-01,6.61E-01
2.57E-01,7.32E-04,7.81E-01,3.00E+02,1.02E-01,3.39E-02,2.16E-01,6.48E-01
2.63E-01,7.42E-04,7.53E-01,3.00E+02,1.17E-01,3.88E-02,2.11E-01,6.34E-01
2.68E-01,7.53E-04,7.24E-01,3.00E+02,1.32E-01,4.40E-02,2.06E-01,6.18E-01
2.73E-01,7.65E-04,6.93E-01,3.00E+02,1.50E-01,4.98E-02,2.00E-01,6.00E-01
2.78E-01,7.78E-04,6.60E-01,3.00E+02,1.68E-01,5.60E-02,1.94E-01,5.82E-01
2.84E-01,7.91E-04,6.27E-01,3.00E+02,1.88E-01,6.26E-02,1.87E-01,5.62E-01
2.89E-01,8.06E-04,5.92E-01,3.00E+02,2.09E-01,6.96E-02,1.80E-01,5.41E-01
2.94E-01,8.21E-04,5.58E-01,3.00E+02,2.31E-01,7.69E-02,1.73E-01,5.19E-01
2.99E-01,8.37E-04,5.23E-01,3.00E+02,2.54E-01,8.46E-02,1.65E-01,4.96E-01
3.05E-01,8.53E-04,4.88E-01,3.00E+02,2.78E-01,9.26E-02,1.57E-01,4.72E-01
3.10E-01,8.70E-04,4.53E-01,3.00E+02,3.03E-01,1.01E-01,1.49E-01,4.47E-01
3.15E-01,8.88E-04,4.20E-01,3.00E+02,3.28E-01,1.09E-01,1.41E-01,4.22E-01
3.20E-01,9.05E-04,3.87E-01,3.00E+02,3.53E-01,1.17E-01,1.32E-01,3.97E-01
3.26E-01,9.23E-04,3.55E-01,3.00E+02,3.79E-01,1.26E-01,1.24E-01,3.71E-01
3.31E-01,9.40E-04,3.25E-01,3.00E+02,4.04E-01,1.34E-01,1.15E-01,3.46E-01
3.36E-01,9.57E-04,2.96E-01,3.00E+02,4.29E-01,1.43E-01,1.07E-01,3.21E-01
3.41E-01,9.74E-04,2.68E-01,3.00E+02,4.54E-01,1.51E-01,9.88E-02,2.96E-01
3.47E-01,9.91E-04,2.43E-01,3.00E+02,4.78E-01,1.59E-01,9.08E-02,2.72E-01
3.52E-01,1.01E-03,2.18E-01,3.00E+02,5.01E-01,1.67E-01,8.30E-02,2.49E-01
3.57E-01,1.02E-03,1.96E-01,3.00E+02,5.24E-01,1.74E-01,7.56E-02,2.27E-01
3.62E-01,1.04E-03,1.75E-01,3.00E+02,5.45E-01,1.81E-01,6.85E-02,2.05E-01
3.68E-01,1.05E-03,1.56E-01,3.00E+02,5.65E-01,1.88E-01,6.18E-02,1.85E-01
3.73E-01,1.06E-03,1.38E-01,3.00E+02,5.84E-01,1.94E-01,5.54E-02,1.66E-01
3.78E-01,1.08E-03,1.22E-01,3.00E+02,6.02E-01,2.00E-01,4.95E-02,1.48E-01
3.83E-01,1.09E-03,1.07E-01,3.00E+02,6.18E-01,2.06E-01,4.40E-02,1.32E-01
3.89E-01,1.10E-03,9.38E-02,3.00E+02,6.34E-01,2.11E-01,3.89E-02,1.17E-01
3.94E-01,1.11E-03,8.19E-02,3.00E+02,6.48E-01,2.15E-01,3.42E-02,1.03E-01
3.99E-01,1.12E-03,7.11E-02,3.00E+02,6.60E-01,2.20E-01,3.00E-02,9.00E-02
4.04E-01,1.12E-03,6.16E-02,3.00E+02,6.72E-01,2.23E-01,2.62E-02,7.85E-02
4.10E-01,1.13E-03,5.31E-02,3.00E+02,6.82E-01,2.27E-01,2.27E-02,6.81E-02
4.15E-01,1.14E-03,4.56E-02,3.00E+02,6.92E-01,2.30E-01,1.96E-02,5.88E-02
4.20E-01,1.14E-03,3.90E-02,3.00E+02,7.00E-01,2.33E-01,1.69E-02,5.06E-02
4.25E-01,1.15E-03,3.32E-02,3.00E+02,7.07E-01,2.35E-01,1.44E-02,4.33E-02
4.31E-01,1.15E-03,2.82E-02,3.00E+02,7.14E-01,2.37E-01,1.23E-02,3.68E-02
4.36E-01,1.16E-03,2.38E-02,3.00E+02,7.19E-01,2.39E-01,1.04E-02,3.12E-02
4.41E-01,1.16E-03,2.00E-02,3.00E+02,7.24E-01,2.41E-01,8.78E-03,2.64E-02
4.46E-01,1.16E-03,1.68E-02,3.00E+02,7.28E-01,2.42E-01,7.38E-03,2.21E-02
4.52E-01,1.17E-03,1.40E-02,3.00E+02,7.32E-01,2.43E-01,6.17E-03,1.85E-02
4.57E-01,1.17E-03,1.17E-02,3.00E+02,7.35E-01,2.44E-01,5.14E-03,1.54E-02
4.62E-01,1.17E-03,9.65E-03,3.00E+02,7.38E-01,2.45E-01,4.26E-03,1.28E-02
4.67E-01,1.17E-03,7.95E-03,3.00E+02,7.40E-01,2.46E-01,3.52E-03,1.06E-02
4.73E-01,1.17E-03,6.53E-03,3.00E+02,7.42E-01,2.47E-01,2.89E-03,8.68E-03
4.78E-01,1.17E-03,5.34E-03,3.00E+02,7.43E-01,2.47E-01,2.37E-03,7.11E-03
4.83E-01,1.17E-03,4.35E-03,3.00E+02,7.45E-01,2.48E-01,1.93E-03,5.80E-03
4.88E-01,1.18E-03,3.53E-03,3.00E+02,7.46E-01,2.48E-01,1.57E-03,4.71E-03
4.94E-01,1.18E-03,2.86E-03,3.00E+02,7.47E-01,2.48E-01,1.27E-03,3.81E-03
4.99E-01,1.18E-03,2.30E-03,3.00E+02,7.47E-01,2.48E-01,1.02E-03,3.07E-03
5.04E-01,1.18E-03,1.85E-03,3.00E+02,7.48E-01,2.49E-01,8.21E-04,2.46E-03
5.09E-01,1.18E-03,1.48E-03,3.00E+02,7.49E-01,2.49E-01,6.57E-04,1.97E-03
5.15E-01,1.18E-03,1.18E-03,3.00E+02,7.49E-01,2.49E-01,5.23E-04,1.57E-03
5.20E-01,1.18E-03,9.34E-04,3.00E+02,7.49E-01,2.49E-01,4.15E-04,1.25E-03
5.25E-01,1.18E-03,7.39E-04,3.00E+02,7.50E-01,2.49E-01,3.29E-04,9.86E-04
5.30E-01,1.18E-03,5.82E-04,3.00E+02,7.50E-01,2.49E-01,2.59E-04,7.77E-04
5.36E-01,1.18E-03,4.58E-04,3.00E+02,7.50E-01,2.49E-01,2.04E-04,6.11E-04
5.41E-01,1.18E-03,3.58E-04,3.00E+02,7.50E-01,2.49E-01,1.60E-04,4.79E-04
5.46E-01,1.18E-03,2.80E-04,3.00E+02,7.50E-01,2.49E-01,1.25E-04,3.74E-04
5.51E-01,1.18E-03,2.18E-04,3.00E+02,7.50E-01,2.49E-01,9.69E-05,2.91E-04
5.57E-01,1.18E-03,1.69E-04,3.00E+02,7.50E-01,2.49E-01,7.52E-05,2.26E-04
5.62E-01,1.18E-03,1.31E-04,3.00E+02,7.50E-01,2.49E-01,5.82E-05,1.75E-04
